dist,dx,dy,goal,player,shot,team,x,y
17.87003078,-13.02,12.24,FALSE,ÃÅngel Di MarÃ_a,TRUE,Real Madrid,13.02,18.904
26.04653576,-25.725,-4.08,FALSE,Marcelo,TRUE,Real Madrid,25.725,42.024
28.29539192,26.67,9.452,FALSE,Carlos TÃ©vez,TRUE,Man. City,78.33,28.288
25.71472115,-19.53,-16.728,FALSE,Marcelo,TRUE,Real Madrid,19.53,52.156
13.2357395,13.02,2.38,TRUE,Edin DÅ_eko,TRUE,Man. City,91.98,29.444
5.145449349,-5.145,0.068,FALSE,RaphaÃ«l Varane,TRUE,Real Madrid,5.145,34.068
18.29446649,8.4,16.252,FALSE,Aleksandar Kolarov,TRUE,Man. City,96.6,16.796
9.491050574,6.405,-7.004,FALSE,Yaya TourÃ©,TRUE,Man. City,98.595,45.832
23.78776366,-20.79,-11.56,TRUE,Marcelo,TRUE,Real Madrid,20.79,48.62
20.75753396,-2.52,20.604,FALSE,Karim Benzema,TRUE,Real Madrid,2.52,14.824
28.88120844,-27.195,-9.724,FALSE,Xabi Alonso,TRUE,Real Madrid,27.195,42.5
29.93741639,-26.67,13.6,FALSE,Luka ModriÄ‡,TRUE,Real Madrid,26.67,23.324
45.98009239,34.44,-30.464,TRUE,Aleksandar Kolarov,TRUE,Man. City,70.56,61.064
21.52631787,-17.115,13.056,TRUE,Karim Benzema,TRUE,Real Madrid,17.115,24.276
16.12659121,-15.96,2.312,FALSE,Cristiano Ronaldo,TRUE,Real Madrid,15.96,29.784
11.2621082,-1.995,-11.084,FALSE,Karim Benzema,TRUE,Real Madrid,1.995,41.82
22.13567169,-14.805,-16.456,TRUE,Cristiano Ronaldo,TRUE,Real Madrid,14.805,50.184
17.68676254,-17.535,-2.312,FALSE,Luiz Adriano,TRUE,Shakhtar Donetsk,17.535,41.072
15.44916166,-12.81,8.636,FALSE,Willian,TRUE,Shakhtar Donetsk,12.81,26.112
23.00097009,-20.265,10.88,FALSE,Willian,TRUE,Shakhtar Donetsk,20.265,27.404
29.97431067,27.93,-10.88,FALSE,Nicolai Stokholm,TRUE,NordsjÃ_lland,77.07,42.704
16.78590483,-7.875,14.824,FALSE,Henrik Mkhitaryan,TRUE,Shakhtar Donetsk,7.875,22.236
17.7552575,-17.535,-2.788,FALSE,Henrik Mkhitaryan,TRUE,Shakhtar Donetsk,17.535,41.616
12.60944126,-9.555,8.228,TRUE,Henrik Mkhitaryan,TRUE,Shakhtar Donetsk,9.555,28.152
22.69200795,18.165,-13.6,FALSE,Darijo Srna,TRUE,Shakhtar Donetsk,86.835,47.192
8.409902734,8.4,0.408,FALSE,TomÃ¡Å¡ HÃ_bschman,TRUE,Shakhtar Donetsk,96.6,33.32
12.95699055,-6.93,10.948,FALSE,Ivan Runje,TRUE,NordsjÃ_lland,6.93,25.296
9.249540529,5.88,7.14,FALSE,Henrik Mkhitaryan,TRUE,Shakhtar Donetsk,99.12,25.84
46.6033677,44.835,12.716,FALSE,Yaroslav Rakitskiy,TRUE,Shakhtar Donetsk,60.165,25.704
28.6938346,27.72,-7.412,FALSE,Willian,TRUE,Shakhtar Donetsk,77.28,41.548
31.08743798,-31.08,0.68,FALSE,Anders Christiansen,TRUE,NordsjÃ_lland,31.08,32.912
10.50733629,1.47,10.404,FALSE,Luiz Adriano,TRUE,Shakhtar Donetsk,103.53,30.056
12.79948999,10.08,7.888,TRUE,Henrik Mkhitaryan,TRUE,Shakhtar Donetsk,94.92,23.732
6.099483585,6.09,-0.34,FALSE,Marko DeviÄ‡,TRUE,Shakhtar Donetsk,98.91,35.904
7.52445513,7.455,-1.02,FALSE,Alex Teixeira,TRUE,Shakhtar Donetsk,97.545,29.716
11.95311441,-10.5,-5.712,FALSE,David Luiz,TRUE,Chelsea,10.5,39.032
29.1611128,-28.77,-4.76,FALSE,Frank Lampard,TRUE,Chelsea,28.77,38.624
19.52896436,16.695,-10.132,FALSE,Arturo Vidal,TRUE,Juventus,88.305,39.848
19.77956241,-19.215,4.692,FALSE,Ramires,TRUE,Chelsea,19.215,26.724
9.08697579,8.085,-4.148,FALSE,Mirko VuÄçiniÄ‡,TRUE,Juventus,96.915,42.16
24.9006964,-24.885,0.884,TRUE,Oscar,TRUE,Chelsea,24.885,30.396
22.03704962,-21.63,-4.216,TRUE,Oscar,TRUE,Chelsea,21.63,41.344
19.01750165,15.645,-10.812,FALSE,Arturo Vidal,TRUE,Juventus,89.355,42.704
21.6849297,19.74,8.976,TRUE,Arturo Vidal,TRUE,Juventus,85.26,27.608
16.97619183,-12.495,11.492,FALSE,Ramires,TRUE,Chelsea,12.495,23.732
31.58978316,31.5,2.38,FALSE,Andrea Pirlo,TRUE,Juventus,73.5,27.336
34.48746974,30.345,-16.388,FALSE,Branislav IvanoviÄ‡,TRUE,Chelsea,74.655,47.804
18.54175137,17.64,5.712,FALSE,Frank Lampard,TRUE,Chelsea,87.36,27.88
25.07649898,-23.415,8.976,FALSE,Sebastian Giovinco,TRUE,Juventus,23.415,29.172
21.44313151,-16.905,-13.192,FALSE,Sebastian Giovinco,TRUE,Juventus,16.905,48.484
15.0987773,13.23,7.276,FALSE,Juan Mata,TRUE,Chelsea,91.77,22.372
13.27737267,-5.145,-12.24,TRUE,Fabio Quagliarella,TRUE,Juventus,5.145,45.9
23.1563314,-22.05,-7.072,FALSE,Mirko VuÄçiniÄ‡,TRUE,Juventus,22.05,42.432
14.5393905,9.87,-10.676,FALSE,Salomon Kalou,TRUE,LOSC,95.13,47.26
27.85541735,24.57,-13.124,FALSE,Florent Balmont,TRUE,LOSC,80.43,41.752
26.99866013,-26.775,-3.468,TRUE,Aleksandr Volodko,TRUE,BATE,26.775,40.46
13.08473859,11.34,6.528,FALSE,TÃºlio De Melo,TRUE,LOSC,93.66,29.172
28.8755947,26.775,-10.812,FALSE,Mathieu Debuchy,TRUE,LOSC,78.225,47.26
11.72639284,-11.655,1.292,TRUE,Vitali Rodionov,TRUE,BATE,11.655,34.544
15.45388508,14.07,-6.392,FALSE,Marvin Martin,TRUE,LOSC,90.93,44.676
23.52517936,18.9,-14.008,FALSE,Mathieu Debuchy,TRUE,LOSC,86.1,42.636
14.17581832,-10.185,-9.86,FALSE,Edgar Olekhnovich,TRUE,BATE,10.185,45.22
17.36265752,-16.17,-6.324,TRUE,Edgar Olekhnovich,TRUE,BATE,16.17,40.8
24.78636149,21.63,12.104,FALSE,Lucas Digne,TRUE,LOSC,83.37,18.36
20.06836139,19.635,-4.148,FALSE,Florent Balmont,TRUE,LOSC,85.365,42.5
12.18085748,-7.245,9.792,FALSE,Salomon Kalou,TRUE,LOSC,7.245,29.852
25.88296198,-19.635,16.864,FALSE,Mathieu Debuchy,TRUE,LOSC,19.635,20.808
11.37402743,-5.67,-9.86,TRUE,AurÃ©lien Chedjou,TRUE,LOSC,5.67,41.888
27.73875989,-27.72,-1.02,FALSE,Dimitri Payet,TRUE,LOSC,27.72,34
12.444,0,-12.444,FALSE,Ryan Mendes,TRUE,LOSC,0,43.384
23.04618843,-16.065,-16.524,FALSE,Dimitri Payet,TRUE,LOSC,16.065,49.64
12.01239776,-10.71,-5.44,FALSE,Nolan Roux,TRUE,LOSC,10.71,34.068
25.7261377,-24.465,7.956,FALSE,Dimitri Payet,TRUE,LOSC,24.465,29.24
11.68334819,-10.815,4.42,FALSE,Florent Balmont,TRUE,LOSC,10.815,32.096
12.70628038,8.925,9.044,FALSE,Aleksandr Hleb,TRUE,BATE,96.075,20.74
25.84082824,25.83,0.748,FALSE,Renan Bressan,TRUE,BATE,79.17,31.008
11.49467568,-9.975,5.712,FALSE,Toni Kroos,TRUE,Bayern,9.975,32.164
15.598163,-13.335,-8.092,FALSE,Franck RibÃ©ry,TRUE,Bayern,13.335,38.012
20.5762776,-18.06,9.86,FALSE,Bastian Schweinsteiger,TRUE,Bayern,18.06,27.064
21.44174144,-19.11,-9.724,FALSE,Toni Kroos,TRUE,Bayern,19.11,41.004
26.10749509,-21.63,14.62,FALSE,Arjen Robben,TRUE,Bayern,21.63,19.924
20.82694649,-14.49,14.96,FALSE,Arjen Robben,TRUE,Bayern,14.49,20.672
9.156044779,-6.93,5.984,FALSE,Dante,TRUE,Bayern,6.93,29.648
18.1111347,-18.06,1.36,TRUE,Bastian Schweinsteiger,TRUE,Bayern,18.06,29.716
22.90097921,18.375,13.668,FALSE,Arjen Robben,TRUE,Bayern,86.625,15.98
34.69208117,-33.6,-8.636,FALSE,Tino Costa,TRUE,Valencia,33.6,45.56
24.29870962,23.205,7.208,FALSE,Toni Kroos,TRUE,Bayern,81.795,27.268
8.791502488,8.19,-3.196,FALSE,Javi MartÃ_nez,TRUE,Bayern,96.81,41.344
14.60541009,-2.73,14.348,FALSE,Sofiane Feghouli,TRUE,Valencia,2.73,23.596
34.34637799,-34.335,-0.884,FALSE,Daniel Parejo,TRUE,Valencia,34.335,34.952
23.19511692,22.155,-6.868,TRUE,Toni Kroos,TRUE,Bayern,82.845,37.604
19.0481718,3.255,18.768,FALSE,Holger Badstuber,TRUE,Bayern,101.745,15.232
9.071121706,-7.455,5.168,TRUE,Nelson Valdez,TRUE,Valencia,7.455,31.28
11.55757972,11.025,-3.468,FALSE,Mario MandÅ_ukiÄ‡,TRUE,Bayern,93.975,34
20.22032888,-16.59,11.56,FALSE,Juan Insaurralde,TRUE,Spartak Moskva,16.59,26.452
9.876408305,9.345,-3.196,FALSE,Gerard PiquÃ©,TRUE,Barcelona,95.655,40.324
25.15083635,17.955,17.612,TRUE,Christian Tello,TRUE,Barcelona,87.045,19.652
19.2279301,18.9,-3.536,FALSE,Lionel Messi,TRUE,Barcelona,86.1,41.344
8.481326547,-7.77,3.4,FALSE,Daniel Alves,TRUE,Barcelona,7.77,33.388
13.29917291,7.14,-11.22,FALSE,Sergio Busquets,TRUE,Barcelona,97.86,41.344
10.47250285,9.03,-5.304,FALSE,Cesc FÃ bregas,TRUE,Barcelona,95.97,40.256
23.43155567,17.325,-15.776,FALSE,Xavi HernÃ¡ndez,TRUE,Barcelona,87.675,45.764
30.10559299,-26.355,-14.552,FALSE,Adriano,TRUE,Barcelona,26.355,46.036
20.31639377,20.16,-2.516,FALSE,Romulo,TRUE,Spartak Moskva,84.84,37.468
20.1183081,19.425,5.236,FALSE,Aiden McGeady,TRUE,Spartak Moskva,85.575,24.82
12.41763363,-10.605,-6.46,FALSE,Lionel Messi,TRUE,Barcelona,10.605,39.44
14.13512915,5.25,-13.124,TRUE,Romulo,TRUE,Spartak Moskva,99.75,45.22
22.78753662,-22.785,0.34,FALSE,Lionel Messi,TRUE,Barcelona,22.785,31.62
10.44031724,-7.98,6.732,FALSE,Alex Song,TRUE,Barcelona,7.98,31.416
12.4316873,-9.135,-8.432,TRUE,Lionel Messi,TRUE,Barcelona,9.135,39.644
20.3853477,-9.135,-18.224,FALSE,Xavi HernÃ¡ndez,TRUE,Barcelona,9.135,56.168
5.562686042,-3.99,3.876,TRUE,Lionel Messi,TRUE,Barcelona,3.99,29.716
13.23104773,-12.18,5.168,FALSE,Pedro RodrÃ_guez,TRUE,Barcelona,12.18,24.548
