player_id,outcome,min,sec,x,y,to_x,to_y,field_pass,type,team
40691,1,3,56,52,58.1,67.8,63,t,1,Germany
69600,1,3,57,67.8,63,,,t,100,Germany
69600,1,3,57,67.8,63,69.8,74.2,t,101,Germany
69600,1,3,58,69.8,74.2,65.6,87.1,t,1,Germany
44989,1,3,59,65.6,87.1,,,t,100,Germany
44989,1,3,59,65.6,87.1,65.3,82,t,101,Germany
44989,1,4,0,65.3,82,61.6,67.8,t,1,Germany
15208,1,4,2,61.6,67.8,65.8,69.1,t,101,Germany
15208,1,4,2,61.6,67.8,,,t,100,Germany
15208,1,4,3,65.8,69.1,54.5,69.1,t,1,Germany
40691,1,4,5,54.5,69.1,,,t,100,Germany
40691,1,4,5,54.5,69.1,52.8,64.9,t,101,Germany
40691,1,4,6,52.8,64.9,61,23.3,t,1,Germany
37605,1,4,9,61,23.3,62.7,20.6,t,101,Germany
37605,1,4,9,61,23.3,,,t,100,Germany
37605,1,4,10,62.7,20.6,65.7,35.2,t,1,Germany
15207,1,4,11,65.7,35.2,,,t,100,Germany
15207,1,4,11,65.7,35.2,69.1,36.6,t,101,Germany
15207,1,4,12,69.1,36.6,65.5,58.7,t,1,Germany
44989,1,4,14,65.5,58.7,65.4,54.5,t,101,Germany
44989,1,4,14,65.5,58.7,,,t,100,Germany
44989,1,4,15,65.4,54.5,69.4,36,t,1,Germany
15207,0,4,19,71.3,35.4,92.1,38.2,t,1,Germany
28549,1,4,20,0,0,,,f,59,Argentina
28549,1,4,21,7.1,63.1,,,f,54,Argentina
28549,1,4,21,7.1,63.1,,,f,52,Argentina
28549,1,4,31,15.5,73.6,62.3,77.6,t,1,Argentina
104512,1,4,35,65.5,77.3,,,f,44,Argentina
69140,0,4,35,34.5,22.7,,,f,44,Germany
104512,0,4,36,62.3,77.6,67.1,57.8,t,1,Argentina
40691,1,4,37,28.5,44.1,53.6,33.8,t,1,Germany
37605,0,4,39,53.6,36.7,,,f,61,Germany
51498,1,4,40,41.5,58.1,36.5,60,t,1,Argentina
149786,1,4,41,38,60.5,,,f,49,Argentina
149786,1,4,41,38,60.5,40.4,90,t,1,Argentina
88746,0,4,42,40.4,90,58.8,76.9,t,1,Argentina
17127,1,4,47,32.8,31.6,,,f,49,Germany
17127,1,4,48,31.7,31.6,40,30,t,1,Germany
15207,1,4,50,40,30,,,t,100,Germany
15207,1,4,50,40,30,40.7,30.6,t,101,Germany
15207,1,4,51,40.7,30.6,31.1,31.8,t,1,Germany
17127,1,4,52,31.1,31.8,,,t,100,Germany
17127,1,4,52,31.1,31.8,32.8,35.5,t,101,Germany
17127,1,4,53,32.8,35.5,29,42.1,t,1,Germany
15207,1,4,55,29,42.1,,,t,100,Germany
15207,1,4,55,29,42.1,29.8,45.4,t,101,Germany
15207,1,4,56,29.8,45.4,39.6,94.1,t,1,Germany
40691,0,5,0,39.6,94.1,42.8,95.3,t,1,Germany
44336,1,5,1,55.8,4.1,,,f,74,Argentina
44336,0,5,1,46,-1.6,,,f,5,Argentina
40691,1,5,1,54,101.6,,,f,5,Germany
41316,1,5,12,60.7,100,70.8,95.7,f,1,Germany
86813,1,5,14,29.7,5.6,,,f,7,Argentina
69600,1,5,14,70.3,94.4,,,f,50,Germany
51498,1,5,16,38.4,15.9,,,f,49,Argentina
51498,1,5,16,38.4,15.9,34.1,7.3,t,1,Argentina
86813,0,5,17,34.1,7.3,51.7,11.1,t,1,Argentina
40691,1,5,21,40.4,96.3,,,f,12,Germany
86813,1,5,22,58.2,-1.1,,,f,5,Argentina
40691,0,5,22,41.8,101.1,,,f,5,Germany
86813,1,5,34,59.1,0,82.2,3.8,f,1,Argentina
149828,0,5,39,86,1.9,86.2,3.5,f,1,Argentina
40691,1,5,40,12.1,96.3,,,f,12,Germany
40691,1,5,41,6.6,94.7,,,f,12,Germany
15208,1,5,45,27.2,73.5,44.3,66.9,t,1,Germany
55634,1,5,48,44.2,78.5,,,f,49,Germany
55634,1,5,49,50.4,90.5,58.3,96.3,t,1,Germany
69600,1,5,50,58.3,96.3,58.4,95.4,t,101,Germany
69600,1,5,50,58.3,96.3,,,t,100,Germany
69600,1,5,51,58.4,95.4,58.9,85,t,1,Germany
51498,0,5,53,39.6,14.9,,,f,45,Argentina
44989,1,5,53,60.4,85.1,,,f,3,Germany
51498,0,5,54,39.6,14.9,,,f,4,Argentina
44989,1,5,54,60.4,85.1,,,f,4,Germany
44989,1,6,8,64.7,82,61.4,74.4,f,1,Germany
15207,1,6,8,61.4,74.4,,,f,100,Germany
15207,1,6,9,61.4,74.4,62.3,82.1,t,1,Germany
44989,1,6,12,62.3,82.1,59.8,74.5,t,101,Germany
44989,1,6,12,62.3,82.1,,,t,100,Germany
44989,1,6,13,59.8,74.5,65.5,8,t,1,Germany
69140,1,6,15,65.5,8,65.7,5.2,t,101,Germany
69140,1,6,15,65.5,8,,,t,100,Germany
69140,1,6,16,65.7,5.2,34.1,12.6,t,1,Germany
17127,1,6,23,34.1,12.6,35.3,18.9,t,101,Germany
17127,1,6,23,34.1,12.6,,,t,100,Germany
17127,1,6,24,35.3,18.9,56.3,21.8,t,1,Germany
15207,1,6,25,56.3,21.8,,,t,100,Germany
15207,1,6,26,56.3,21.8,37.4,24.4,t,1,Germany
17127,1,6,32,37.4,24.4,55,26.2,t,101,Germany
17127,1,6,32,37.4,24.4,,,t,100,Germany
17127,1,6,33,55,26.2,68.3,36.3,t,1,Germany
37605,1,6,35,68.3,36.3,,,t,100,Germany
37605,1,6,36,68.3,36.3,78,6.5,t,1,Germany
69140,0,6,38,78,6.5,92,44.3,f,1,Germany
28549,1,6,40,0,0,,,f,59,Argentina
28549,1,6,41,8.1,55.7,,,f,52,Argentina
28549,0,6,42,12,53.6,58.6,24.1,t,1,Argentina
40691,1,6,46,41.1,95,,,f,49,Germany
40691,1,6,52,63.9,97.4,43.4,68.1,t,1,Germany
15207,1,6,53,43.4,68.1,43.3,69.1,t,101,Germany
15207,1,6,53,43.4,68.1,,,t,100,Germany
15207,1,6,54,43.3,69.1,44.1,47.9,t,1,Germany
17127,1,6,57,44.1,47.9,45.3,44.6,t,101,Germany
17127,1,6,57,44.1,47.9,,,t,100,Germany
17127,1,6,58,45.3,44.6,59.3,27.6,t,1,Germany
15208,1,7,0,59.3,27.6,61.8,19.7,t,101,Germany
15208,1,7,0,59.3,27.6,,,t,100,Germany
15208,1,7,1,61.8,19.7,73.9,20.1,t,1,Germany
55634,0,7,4,73.9,20.1,,,f,61,Germany
28549,1,7,6,-1.2,84,,,f,5,Argentina
55634,0,7,6,101.2,16,,,f,5,Germany
28549,0,7,23,5.1,59.1,57.5,66.9,f,1,Argentina
149828,0,7,25,61.9,68.4,,,f,4,Argentina
17127,1,7,25,38.1,31.6,,,f,4,Germany
15207,1,7,36,33.4,33.6,30.5,62.7,f,1,Germany
40691,1,7,41,30.5,62.7,,,f,100,Germany
40691,1,7,41,30.5,62.7,31.7,62,f,101,Germany
40691,1,7,42,31.7,62,36.3,30.6,t,1,Germany
17127,1,7,48,36.3,30.6,58.4,17.3,t,101,Germany
17127,1,7,48,36.3,30.6,,,t,100,Germany
17127,1,7,49,58.4,17.3,64.4,4.7,t,1,Germany
37605,1,7,50,64.4,4.7,,,t,100,Germany
37605,1,7,51,64.4,4.7,38.2,9.2,t,1,Germany
69140,1,7,53,38.2,9.2,,,t,100,Germany
69140,1,7,54,38.2,9.2,19.1,38.8,t,1,Germany
20388,1,7,55,19.1,38.8,,,t,100,Germany
20388,1,7,56,19.1,38.8,30.6,65.2,t,1,Germany
40691,1,7,58,30.6,65.2,30.9,67,t,101,Germany
40691,1,7,58,30.6,65.2,,,t,100,Germany
40691,1,7,59,30.9,67,43.2,67.8,t,1,Germany
44989,1,8,0,43.2,67.8,41.5,76.7,t,101,Germany
44989,1,8,0,43.2,67.8,,,t,100,Germany
44989,1,8,1,41.5,76.7,43.8,96.6,t,1,Germany
41316,1,8,2,43.8,96.6,,,t,100,Germany
41316,1,8,3,43.8,96.6,32.3,82.6,t,1,Germany
40691,1,8,8,32.3,82.6,,,t,100,Germany
40691,1,8,8,32.3,82.6,34.4,68.2,t,101,Germany
40691,1,8,9,34.4,68.2,42.4,79.4,t,1,Germany
44989,1,8,11,42.4,79.4,,,t,100,Germany
44989,1,8,12,42.4,79.4,52.3,41.5,t,1,Germany
37605,1,8,12,52.3,41.5,,,t,100,Germany
37605,1,8,13,52.3,41.5,63.7,37.3,t,1,Germany
55634,1,8,14,63.7,37.3,63.2,37.3,t,101,Germany
55634,1,8,14,63.7,37.3,,,t,100,Germany
55634,1,8,15,63.2,37.3,75.2,7.9,t,1,Germany
